,time,open,high,low,close,adj Close,volume,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,previous_close,high-low,high-pc,low-pc,tr,atr,upperband,lowerband,in_uptrend,pattern,label
676,2018-03-16,64.585999,65.480003,63.813999,64.269997,64.269997,30586500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,65.120003,1.6660039999999938,0.35999999999999943,1.3060039999999944,1.6660039999999938,2.6619998571428565,71.35771707142857,56.66100142857143,False,-1,-1
677,2018-03-19,63.299999,64.150002,61.933998,62.712002,62.712002,37421500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,64.269997,2.216003999999998,0.11999500000000296,2.335999000000001,2.335999000000001,2.794855999999999,71.35771707142857,54.65743200000001,False,-1,-1
678,2018-03-20,62.973999,63.25,61.751999,62.110001,62.110001,23821500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,62.712002,1.4980010000000021,0.5379980000000018,0.9600030000000004,1.4980010000000021,2.816570285714287,70.95071035714287,54.05128864285714,False,0,0
679,2018-03-21,62.049999,64.487999,62.037998,63.306,63.306,29792000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.110001,2.4500010000000003,2.377998000000005,0.07200299999999515,2.4500010000000003,2.5748564285714295,70.95071035714287,55.53842921428571,False,1,0
680,2018-03-22,62.778,63.764,61.636002,61.82,61.82,24699000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.306,2.127998000000005,0.4580000000000055,1.6699979999999996,2.127998000000005,2.2871421428571446,69.56142742857143,55.838574571428566,False,0,0
681,2018-03-23,62.25,62.25,60.09,60.307999,60.307999,33274500,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.82,2.1599999999999966,0.4299999999999997,1.7299999999999969,2.1599999999999966,2.084000285714285,67.42200085714286,54.91799914285715,False,2,1
682,2018-03-26,61.467999,61.518002,58.271999,60.835999,60.835999,41876000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.307999,3.2460030000000017,1.2100030000000004,2.0360000000000014,3.2460030000000017,2.2120008571428573,66.53100307142857,53.25899792857143,False,2,-1
683,2018-03-27,60.799999,60.854,55.436001,55.835999,55.835999,69360000,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.835999,5.417999000000002,0.018000999999998157,5.399998000000004,5.417999000000002,2.748000142857144,66.38900092857142,49.90100007142856,False,-1,-1
684,2018-03-28,52.916,53.736,50.419998,51.556,51.556,105007000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.835999,3.3160019999999975,2.099999000000004,5.416001000000001,5.416001000000001,3.18800042857143,61.64200028571429,42.51399771428571,False,0,0
685,2018-03-29,51.298,54.192001,49.641998,53.226002,53.226002,75853500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.556,4.550002999999997,2.6360010000000003,1.9140019999999964,4.550002999999997,3.6240007142857147,61.64200028571429,41.04499735714286,False,1,0
